doc_id,section_id,corpus_type,year,y1_ebi,y2_sa,y3_civil,y4_nv,y5_corpus_type,y6_period,y10_rep,y7_surprisal,y8_mafapo,y9_cidh,y11_conv_rest,text_length_chars,n_sa_instances,n_nv_instances,n_rep_instances,n_nv_questioned,processing_time_s,has_warning
86c58e3302ae7ea2eead8d7cc9faf3a47401dde45f53dc99675428d51900bc5c,HECHOS,A-CE,2016.0,0.0,1.0,0.9956,0.8333,0,0.7586,0.0,,,,,1340,19,2,0,0,0.864,False
86c58e3302ae7ea2eead8d7cc9faf3a47401dde45f53dc99675428d51900bc5c,DECISIÓN,A-CE,2016.0,0.0,1.0,1.0,0.0,0,0.7586,0.0,,,,,411,4,0,0,0,0.411,False
86c58e3302ae7ea2eead8d7cc9faf3a47401dde45f53dc99675428d51900bc5c,DECISIÓN,A-CE,2016.0,0.0,1.0,1.0,0.0,0,0.7586,0.0,,,,,679,6,0,0,0,0.623,False
86c58e3302ae7ea2eead8d7cc9faf3a47401dde45f53dc99675428d51900bc5c,DECISIÓN,A-CE,2016.0,0.0,1.0,0.9951,0.8333,0,0.7586,0.3333,,,,,1913,34,3,1,0,1.2,False
86c58e3302ae7ea2eead8d7cc9faf3a47401dde45f53dc99675428d51900bc5c,HECHOS,A-CE,2016.0,0.0,1.0,1.0,0.0,0,0.7586,0.0,,,,,258,3,0,0,0,0.295,False
86c58e3302ae7ea2eead8d7cc9faf3a47401dde45f53dc99675428d51900bc5c,HECHOS,A-CE,2016.0,0.0,1.0,0.982,0.9608,0,0.7586,0.0,,,,,6096,36,14,0,0,2.299,False
86c58e3302ae7ea2eead8d7cc9faf3a47401dde45f53dc99675428d51900bc5c,HECHOS,A-CE,2016.0,0.0,1.0,1.0,0.5556,0,0.7586,0.0,,,,,454,4,1,0,0,0.437,False
86c58e3302ae7ea2eead8d7cc9faf3a47401dde45f53dc99675428d51900bc5c,HECHOS,A-CE,2016.0,0.0,1.0,1.0,0.0,0,0.7586,0.0,,,,,404,6,0,0,0,0.482,False
86c58e3302ae7ea2eead8d7cc9faf3a47401dde45f53dc99675428d51900bc5c,HECHOS,A-CE,2016.0,0.0,1.0,1.0,1.0,0,0.7586,0.0,,,,,559,5,1,0,0,0.468,False
86c58e3302ae7ea2eead8d7cc9faf3a47401dde45f53dc99675428d51900bc5c,HECHOS,A-CE,2016.0,0.0,1.0,0.9898,1.0,0,0.7586,0.0,,,,,8000,73,12,0,0,2.947,False
86c58e3302ae7ea2eead8d7cc9faf3a47401dde45f53dc99675428d51900bc5c,DECISIÓN,A-CE,2016.0,0.0,1.0,0.9985,0.0,0,0.7586,0.0,,,,,2623,12,0,0,0,0.948,False
86c58e3302ae7ea2eead8d7cc9faf3a47401dde45f53dc99675428d51900bc5c,DECISIÓN,A-CE,2016.0,0.0,1.0,0.9914,0.7121,0,0.7586,0.1818,,,,,4303,24,5,1,0,1.72,False
86c58e3302ae7ea2eead8d7cc9faf3a47401dde45f53dc99675428d51900bc5c,CONSIDERACIONES,A-CE,2016.0,0.0,0.0,0.986,0.0,0,0.7586,0.0,,,,,237,0,0,0,0,0.398,False
86c58e3302ae7ea2eead8d7cc9faf3a47401dde45f53dc99675428d51900bc5c,CONSIDERACIONES,A-CE,2016.0,0.0,1.0,0.9883,0.3161,0,0.7586,0.0,,,,,3477,18,7,0,0,1.667,False
86c58e3302ae7ea2eead8d7cc9faf3a47401dde45f53dc99675428d51900bc5c,DECISIÓN,A-CE,2016.0,0.0,1.0,1.0,0.0,0,0.7586,0.0,,,,,558,7,0,0,0,0.497,False
86c58e3302ae7ea2eead8d7cc9faf3a47401dde45f53dc99675428d51900bc5c,CARGOS,A-CE,2016.0,0.0,1.0,1.0,0.0,0,0.7586,0.0,,,,,671,5,0,0,0,0.597,False
86c58e3302ae7ea2eead8d7cc9faf3a47401dde45f53dc99675428d51900bc5c,DECISIÓN,A-CE,2016.0,0.0,0.0,1.0,0.1667,0,0.7586,0.0,,,,,672,0,1,0,0,0.635,False
86c58e3302ae7ea2eead8d7cc9faf3a47401dde45f53dc99675428d51900bc5c,HECHOS,A-CE,2016.0,0.0,1.0,1.0,0.0758,0,0.7586,0.0,,,,,3482,27,2,0,0,2.302,False
86c58e3302ae7ea2eead8d7cc9faf3a47401dde45f53dc99675428d51900bc5c,DECISIÓN,A-CE,2016.0,0.0,0.605,0.9931,0.0,0,0.7586,0.0,,,,,974,5,0,0,0,0.729,False
86c58e3302ae7ea2eead8d7cc9faf3a47401dde45f53dc99675428d51900bc5c,HECHOS,A-CE,2016.0,0.0,1.0,0.9916,0.0,0,0.7586,0.0,,,,,798,5,0,0,0,0.696,False
86c58e3302ae7ea2eead8d7cc9faf3a47401dde45f53dc99675428d51900bc5c,HECHOS,A-CE,2016.0,0.0,1.0,0.9859,0.1667,0,0.7586,0.0,,,,,1161,5,1,0,0,0.821,False
86c58e3302ae7ea2eead8d7cc9faf3a47401dde45f53dc99675428d51900bc5c,DECISIÓN,A-CE,2016.0,0.0,0.7579,0.9658,0.0535,0,0.7586,0.0,,,,,8000,31,2,0,0,3.765,False
8752ccb0cdc41f4410d175d187441eeb28c268ec06a4a1d6edab09f54a1af209,CONSIDERACIONES,A-CSJ,2014.0,0.0,1.0,0.9896,0.1216,1,0.6897,0.0,,,,,8000,43,3,0,0,3.178,False
8906a05addaf736749502cacb8b12f59bc933e440a4d76c2eb1b3bcafe596c8e,HECHOS,A-CSJ,2015.0,0.0,1.0,0.9885,0.6218,1,0.7241,0.0,,,,,8000,40,10,0,0,2.624,False
8906a05addaf736749502cacb8b12f59bc933e440a4d76c2eb1b3bcafe596c8e,DECISIÓN,A-CSJ,2015.0,0.0,0.78,0.9895,0.3333,1,0.7241,0.0,,,,,949,3,1,0,0,0.537,False
8990f6200a9b0a5ada173d372c086d8b65a827580dc9f9b3191c06e89b1d8d90,HECHOS,A-CE,2018.0,0.0,1.0,0.987,0.8019,0,0.8276,0.9722,,,,,3846,19,5,4,0,1.324,False
8990f6200a9b0a5ada173d372c086d8b65a827580dc9f9b3191c06e89b1d8d90,CONSIDERACIONES,A-CE,2018.0,0.0,1.0,0.9915,0.0707,0,0.8276,0.6667,,,,,8000,36,2,10,0,2.885,False
