doc_id,section_id,corpus_type,y10_rep_v5
2cab90c8736fb4fe23022c4cf28f65ee1e9d20f0cff3b63fd36470d360dccce8,CONSIDERACIONES,A-CE,0.48233944954128505
2cab90c8736fb4fe23022c4cf28f65ee1e9d20f0cff3b63fd36470d360dccce8,DECISIÓN,A-CE,0.0
2d6a4e9ebe0fdc7f468e3d4c471d83b596c7395d4fe4532971f02d1e21f41deb,DECISIÓN,A-CE,0.8999999999999999
2e0feeefc4bc50d2e47795c18c7901bc7c83fd8c2a01de2a00a924727e62957b,HECHOS,A-CSJ,0.0
2e0feeefc4bc50d2e47795c18c7901bc7c83fd8c2a01de2a00a924727e62957b,DECISIÓN,A-CSJ,0.0
30899dac6eaab5df87fd13c32e8fd4ab13ee639829d581a9b032998090c6bb2d,HECHOS,A-CE,0.40178571428571425
30899dac6eaab5df87fd13c32e8fd4ab13ee639829d581a9b032998090c6bb2d,DECISIÓN,A-CE,0.5416666666666666
3109c1a737befc06c5eff167678140d2593b7205d9ab6141fbdfa0b28183eee2,CONSIDERACIONES,A-CE,0.29488636363636356
3109c1a737befc06c5eff167678140d2593b7205d9ab6141fbdfa0b28183eee2,CONSIDERACIONES,A-CE,0.29488636363636356
3109c1a737befc06c5eff167678140d2593b7205d9ab6141fbdfa0b28183eee2,DECISIÓN,A-CE,0.0
33b2b2c031f6ed6f35d3e441a8c3a3d2af615eed31d06dbb0796268f68869675,CONSIDERACIONES,A-CSJ,0.0
33b2b2c031f6ed6f35d3e441a8c3a3d2af615eed31d06dbb0796268f68869675,DECISIÓN,A-CSJ,0.0
3415c8e1439b6620466038c51e3593f469a5fcf746e27f0f2609e1615c173d28,HECHOS,A-CSJ,0.0
3415c8e1439b6620466038c51e3593f469a5fcf746e27f0f2609e1615c173d28,CONSIDERACIONES,A-CSJ,0.0
3415c8e1439b6620466038c51e3593f469a5fcf746e27f0f2609e1615c173d28,DECISIÓN,A-CSJ,0.0
341a32fb6a6c70b59f37bb727fa60ca65e17bb52525259dbe551b3142839e812,CONSIDERACIONES,A-CE,0.0
341a32fb6a6c70b59f37bb727fa60ca65e17bb52525259dbe551b3142839e812,CONSIDERACIONES,A-CE,0.0
341a32fb6a6c70b59f37bb727fa60ca65e17bb52525259dbe551b3142839e812,HECHOS,A-CE,0.5227157360406097
341a32fb6a6c70b59f37bb727fa60ca65e17bb52525259dbe551b3142839e812,DECISIÓN,A-CE,0.0
341a32fb6a6c70b59f37bb727fa60ca65e17bb52525259dbe551b3142839e812,DECISIÓN,A-CE,0.0
350095495340fb12b07ca444364c3533da1af9284c9b274f1e8f88dbf0f68567,CONSIDERACIONES,A-CSJ,0.1916666666666666
350095495340fb12b07ca444364c3533da1af9284c9b274f1e8f88dbf0f68567,DECISIÓN,A-CSJ,0.0
