unidad,corpus,y1_ebi,y2_sa,y4_nv,y8_mafapo_cs,y9_cidh_cs,y10_rep,y1_ebi_z,y2_sa_z,y4_nv_z,y8_mafapo_cs_z,y9_cidh_cs_z,y10_rep_z,DIS,IEI_A,IEI_B
0835aff2f7b2_DECISIÓN_0,A,0.0,0.6262,0.1296,0.1812694668769836,0.2115870714187622,0.0,0.41911613236841694,0.27063121787298267,0.4080013565224258,0.3875933250807247,0.2762381947156338,0.34711492262946964,0.44470134152042073,0.36030919540370776,0.41791490080783844
08e5432af330_DECISIÓN_0,A,0.0,0.5417,0.0,0.230901300907135,0.2882275581359863,0.0,0.41911613236841694,0.2099639194046212,0.3093038425074956,0.6495873575440898,0.7219686363320157,0.34711492262946964,0.42650115197991223,0.5692166866694893,0.5832713424472108
0be911634d3b_HECHOS_0,A,0.4355716878402903,1.0,0.3214,0.1237969398498535,0.1768851280212402,0.0,0.588064670285257,0.6188916609807404,0.5660688417540632,0.1542201103142909,0.13807194684614896,0.34711492262946964,0.6167588896194841,0.27293028070578,0.3528782457184464
0be911634d3b_CONSIDERACIONES_0,A,0.4323570432357044,1.0,0.7018,0.1529850363731384,0.2097803354263305,0.0,0.5868441605354888,0.6188916609807404,0.8221981364213884,0.2554267302760657,0.26729288688708636,0.34711492262946964,0.6162706857195768,0.4290179991029687,0.47957779038404447
0be911634d3b_DECISIÓN_0,A,0.0,0.0,0.0,0.2472058534622192,0.2951812148094177,0.0,0.41911613236841694,0.03033911542470335,0.3093038425074956,0.7251721794356973,0.7555101340293717,0.34711492262946964,0.3726137107859369,0.6095130647353391,0.6143321634390321
0c26b5b6275e_DECISIÓN_0,A,0.0,1.0,0.0,0.2492591142654419,0.315207839012146,0.0,0.41911613236841694,0.6188916609807404,0.3093038425074956,0.7339434433710158,0.8360682086961764,0.34711492262946964,0.5491794744527481,0.6371889927095079,0.6371030612863288
0c6ebf783e61_HECHOS_0,A,4.752475247524752,0.65,0.0,0.2232046127319336,0.2779681086540222,0.0,0.9991909970144719,0.2895793819404578,0.3093038425074956,0.6107750827515528,0.6676486824215602,0.34711492262946964,0.6824157365990852,0.5373957905793378,0.5580476715318359
0c6ebf783e61_CONSIDERACIONES_0,A,0.2971931755641167,1.0,0.3188,0.1596043705940246,0.2077230811119079,0.0,0.5347400928732018,0.6188916609807404,0.5639430321030181,0.28362539997955327,0.2573341267583904,0.34711492262946964,0.595429058654662,0.35983330765024385,0.42098392518332417
0c6ebf783e61_DECISIÓN_0,A,0.0,0.65,0.0,0.2770748138427734,0.3201673626899719,0.0,0.41911613236841694,0.2895793819404578,0.3093038425074956,0.8343822919699617,0.8523736641649404,0.34711492262946964,0.4503857907406632,0.6822561687897155,0.6713110797332036
0d0427146a47_CONSIDERACIONES_0,A,0.0,1.0,0.3403,0.3534969091415405,0.3786271214485168,0.2232142857142857,0.41911613236841694,0.6188916609807404,0.5814441731618786,0.9634471398673828,0.9614293255447749,0.5575672442527969,0.4860437779657498,0.8482409055589493,0.7632390677863188
0d0427146a47_DECISIÓN_0,A,0.0,0.7429,0.0,0.2599927186965942,0.3157248497009277,0.0,0.41911613236841694,0.3703926622501349,0.3093038425074956,0.776803546699482,0.8378333505501016,0.34711492262946964,0.4746297748335664,0.654862576597072,0.65040237774835
0d799109865a_DECISIÓN_0,A,0.0,1.0,0.3654,0.2046244740486145,0.2514148950576782,0.0,0.41911613236841694,0.6188916609807404,0.6016165244829272,0.5120627271902847,0.508309784312134,0.34711492262946964,0.5491794744527481,0.5378029835146322,0.5616774108299568
0d799109865a_CONSIDERACIONES_0,A,0.0,1.0,0.0,0.2960203886032104,0.2940312027931213,0.0,0.41911613236841694,0.6188916609807404,0.3093038425074956,0.8836268833359676,0.7501565714553086,0.34711492262946964,0.5491794744527481,0.6712888775232283,0.6605301839655974
0d799109865a_HECHOS_0,A,0.0,1.0,0.0,0.2195156812667846,0.2663180828094482,0.0,0.41911613236841694,0.6188916609807404,0.3093038425074956,0.5916271192788727,0.6001525621896606,0.34711492262946964,0.5491794744527481,0.5094877691206959,0.535429252432057
