doc_id,section_id,section,y7_surprisal
86c58e3302ae7ea2,22,,-0.5017632453236729
86c58e3302ae7ea2,26,,-0.24758894182741642
86c58e3302ae7ea2,27,,-0.34149228408932686
86c58e3302ae7ea2,28,,-0.2886790633201599
86c58e3302ae7ea2,29,,-0.4752836674451828
86c58e3302ae7ea2,30,,-0.4006572663784027
86c58e3302ae7ea2,31,,-0.2355518750846386
86c58e3302ae7ea2,32,,0.01663109054788947
86c58e3302ae7ea2,33,,-0.7764812192569176
86c58e3302ae7ea2,34,,0.0446535125374794
86c58e3302ae7ea2,35,,-0.4404865726828575
86c58e3302ae7ea2,36,,0.027409523725509644
86c58e3302ae7ea2,37,,-0.6207358575262713
86c58e3302ae7ea2,40,,-0.6407847963273525
86c58e3302ae7ea2,42,,-0.516764554195106
86c58e3302ae7ea2,52,,-0.46687889099121094
86c58e3302ae7ea2,53,,-0.3344734013080597
86c58e3302ae7ea2,55,,0.010444484651088715
86c58e3302ae7ea2,71,,0.04180110991001129
86c58e3302ae7ea2,76,,-0.3113522455096245
86c58e3302ae7ea2,84,,-0.47266247620185214
86c58e3302ae7ea2,86,,-0.7540614902973175
86c58e3302ae7ea2,88,,-0.5551708340644836
86c58e3302ae7ea2,89,,0.09015629440546036
86c58e3302ae7ea2,91,,-1.0334782686791029
8752ccb0cdc41f44,1,,-0.3007074551513562
8906a05addaf7367,1,,-0.04993024130484891
8906a05addaf7367,2,,-1.5919557511806488
8990f6200a9b0a5a,1,,-0.4598059367854148
8990f6200a9b0a5a,2,,-0.21571565525872372
8990f6200a9b0a5a,3,,-1.3685399740934372
89cb54f99680da08,2,,-0.3662435786426067
89cb54f99680da08,3,,-0.7360762357711792
8a736052e4150c4e,2,,-0.2956223695405892
8a736052e4150c4e,3,,-0.3261311650276184
8a736052e4150c4e,5,,-0.1314506201216808
8a736052e4150c4e,6,,-0.05693861562758684
8a736052e4150c4e,7,,-0.7885349341668189
8ae9435d3ce08867,2,,-0.2995454797831674
8ae9435d3ce08867,3,,-0.20418539540352004
8ae9435d3ce08867,4,,-0.998886491637677
8f8692086f524ad2,1,,-0.2445643455363237
8f8692086f524ad2,2,,-1.456541895866394
8fb4a679e739d9a7,2,,-0.24734979838906945
8fb4a679e739d9a7,3,,-0.52717543579638
8fba60217966df3e,1,,-1.2306600958108902
8fd4f9a0479eb282,2,,-0.2653101624714004
8fd4f9a0479eb282,3,,-0.16931522754883327
8fd4f9a0479eb282,4,,-1.5776904448866844
920842d40706ca51,1,,-0.5074252436558406
920842d40706ca51,2,,0.012699517421424389
920842d40706ca51,3,,-2.0439787805080414
92de0775e7d0c941,1,,-0.7479906231164932
93089bb3d1b4f92d,2,,-0.35959522270907956
93089bb3d1b4f92d,3,,-1.436570256948471
93cd493c18bc96eb,3,,-0.06404130458831786
93cd493c18bc96eb,5,,-0.14757049921900034
93cd493c18bc96eb,6,,-0.05693861562758684
