AU1,AU4,AU6,AU12,AU15,AU17,audio,start,end,duracion
,,,,,,casanare_torres,883.45,883.47,0.02
0.0016250136056138824,0.13806072970231373,0.6327812333901723,0.0017588060855208217,0.00044177388663229066,0.22851087413728238,casanare_torres,883.61,887.81,4.2
0.14493450409255665,0.07737212122239205,0.5070258506706783,0.0950048172832924,0.001258374479480803,0.10294610907190613,casanare_torres,888.67,893.9,5.23
0.2154795470497837,0.05363748739780151,0.40490037735019413,0.09227545639175462,0.001869775601465205,0.040721848706847856,casanare_torres,894.19,903.54,9.35
0.34362086895853283,0.007994891720227316,0.31705584228038786,0.06801004561712035,0.0029658439048944273,0.26100928061641754,casanare_torres,903.94,907.42,3.48
0.00659996208441953,0.2516909417696297,0.5448421746492386,0.020733434387329906,6.819534215765088e-05,0.3858933046460152,casanare_torres,908.04,909.36,1.32
0.01364139583615941,0.04122347025466817,0.517556505543845,0.0016928629371856612,0.00011311090465174598,0.4747616393225534,casanare_torres,909.95,922.54,12.59
0.043537773994363045,0.09362003207137432,0.471415407600857,0.03715343102269452,0.0003804597335610132,0.4241284758207344,casanare_torres,923.43,926.99,3.56
0.17419982273821477,0.02295104602820141,0.22462877051697838,0.0809588715772878,0.0012143883228351046,0.6637637678671766,casanare_torres,927.28,928.36,1.08
0.06188830181221979,0.07182968405378723,0.5628228325110215,0.025256679479070954,0.0006731273992080297,0.15868154648118293,casanare_torres,928.92,931.45,2.53
0.008722353822891958,0.05430609109596564,0.4946224560531286,0.0010553385716146014,0.0001637208405239877,0.18204961774440911,casanare_torres,931.89,933.02,1.13
0.18335980310479905,0.01842717804472866,0.4111823828683959,0.07715502975968826,0.0005145359807809453,0.13026665758419162,casanare_torres,933.94,937.94,4.0
0.032220833657664205,0.016059387632551426,0.3662266603537968,0.009503636432262803,0.00012736283441058948,0.06757361024972938,casanare_torres,938.65,943.78,5.13
0.020720012777019292,0.07773607810444307,0.29442135244607925,0.005119313414000386,0.0006262128112072018,0.5229273874026078,casanare_torres,944.34,946.53,2.19
0.0032126944218026964,0.09347840396099184,0.5362469514733866,0.01307626661094362,6.347345445072661e-05,0.21813335191262395,casanare_torres,948.07,951.02,2.95
0.04561133603356606,0.12951316133283242,0.34581510236729746,0.05509683858055881,0.0005776964099111311,0.3249367814834999,casanare_torres,951.53,954.03,2.5
0.0010899464735606064,0.25196318257422673,0.3363066613674164,0.017474284972108546,7.06890301292636e-05,0.1932138353586197,casanare_torres,954.75,958.13,3.38
0.001954199583269656,0.18458854645490647,0.3357060033082962,0.012774832565337419,0.00010141177248442546,0.2732672706246376,casanare_torres,958.65,960.32,1.67
0.0017630479394875724,0.1980357740459771,0.31454020738601685,0.017047958396343064,6.620861324398871e-05,0.24955104651122256,casanare_torres,960.67,962.61,1.94
0.057778469274221846,0.21628962761085285,0.33249283287870257,0.039266664620586915,0.0005354721488761003,0.26829498986664574,casanare_torres,963.95,970.51,6.56
0.017351504834368824,0.2156260122985259,0.5166317731142044,0.008999044107758892,0.0003603699187124221,0.1950989227858372,casanare_torres,971.76,975.42,3.66
0.09522359455240803,0.12831272126550175,0.516013216227293,0.02166642660256457,0.0005693875920798064,0.08855716496327659,casanare_torres,975.47,989.11,13.63
0.11701701115816832,0.004672633624977607,0.3716263701207936,0.09571518642195542,0.002048528656821702,0.19380661251489073,casanare_torres,989.73,995.18,5.45
0.030681403387071832,0.0166008938308334,0.2734572099787848,0.0030457308901185613,0.0009075800211836135,0.200694672275512,casanare_torres,995.34,999.1,3.76
0.007864276034524664,0.019263220734137575,0.3105833098292351,0.012524903212761274,0.0015383196581751691,0.15833246894180775,casanare_torres,999.4,1002.29,2.89
0.03072974131597827,0.07643260674667544,0.38820482740799583,0.05359849122081262,0.000734015831585566,0.11478988581026593,casanare_torres,1003.47,1010.88,7.41
