doc_id,corpus,subcorpus,year,radicado,tipo_accion,decision,magistrado_ponente,sala_seccion,fecha_sentencia,fecha_hechos,departamento_hechos,municipio_hechos,batallon,secciones_identificadas,n_secciones,n_chars,y8_mafapo,y9_cidh,y2_sa,y10_rep,compareciente,rango,icm_v3,deteccion_facial
b0684112e798e12a9444…,A-CSJ,CSJ,2015,11001-03-15-000-2015-01676-00,Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],4 de junio de 2015,4 de junio de 2015,ANTIOQUIA,,,CONSIDERACIONES | DECISIÓN,2,8618,0.210,0.248,0.933,0.000,—,—,—,—
b0df2b8eaff4ca6d8bd8…,A-CSJ,CSJ,2014,85001-23-33-000-2014-00006-01,Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],15 de diciembre de 2016,9 de febrero de 2012,Casanare,,,CONSIDERACIONES | DECISIÓN,2,8532,0.216,0.241,1.000,0.000,—,—,—,—
b12cf5c14bcafce006d2…,A-CSJ,CSJ,2014,85001-23-33-000-2014-00006-01,Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],15 de diciembre de 2016,9 de febrero de 2012,Casanare,,,HECHOS | CONSIDERACIONES | DECISIÓN,3,10872,0.218,0.262,0.804,0.000,—,—,—,—
b1be861bfbf5719834ba…,A-CE,CE,,[ver metadata_corpus_a.csv],Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],,[extraer de PDF],,,,DECISIÓN,1,1474,0.239,0.284,0.939,0.000,—,—,—,—
b20fe3243343cef03590…,A-CE,CE,,[ver metadata_corpus_a.csv],Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],,[extraer de PDF],,,,DECISIÓN,1,306,0.276,0.311,0.000,0.000,—,—,—,—
b25be1e4f4bc77b8b3b0…,A-CSJ,CSJ,2014,85001-23-33-000-2014-00006-01,Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],15 de diciembre de 2016,9 de febrero de 2012,Casanare,,,CONSIDERACIONES | DECISIÓN,2,8683,0.229,0.277,0.933,0.000,—,—,—,—
b290640286fba24996d8…,A-CE,CE,2011,05001-23-31-000-2011-00092-01,Acción de Reparación Directa,Accede,[extraer de PDF],[extraer de PDF],29 de enero de 2020,6 de diciembre de 2006,Antioquia,Santaf,,DECISIÓN,1,1409,0.264,0.305,0.196,0.000,—,—,—,—
b4885a59c00544b71ad2…,A-CSJ,CSJ,2015,11001-03-15-000-2015-01676-00,Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],4 de junio de 2015,4 de junio de 2015,ANTIOQUIA,,,CONSIDERACIONES | DECISIÓN,2,8609,0.179,0.225,0.988,0.000,—,—,—,—
b4fe2e08aca38da47b41…,A-CE,CE,2017,11001-03-15-000-2017-01509-00,TUTELA,,[extraer de PDF],[extraer de PDF],12 de febrero de 2015,12 de febrero de 2015,Antioquia,Medelln,,CONSIDERACIONES | DECISIÓN,2,8924,0.215,0.265,0.825,0.000,—,—,—,—
b6db713596d5b69d333f…,A-CSJ,CSJ,2014,85001-23-33-000-2014-00006-01,Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],15 de diciembre de 2016,9 de febrero de 2012,Casanare,,,CARGOS | CONSIDERACIONES | DECISIÓN,3,11869,0.227,0.261,0.922,0.228,—,—,—,—
