archivo,radicado,n_expediente,year_radicado,tipo_accion,decision,magistrado_ponente,fecha_1,fecha_2,municipio_hechos,departamento_hechos,batallon_mencionado,n_chars
52001-23-31-000-2006-01708-01(42798)_1.txt,52001-23-31-000-2006-01708-01,42798,2006,"ACCIÓN DE

REPARACIÓN DIRECTA",,,13 de enero de 2005,11 de septiembre de 2013,,,No,103648
52001-23-31-000-2009-00223-01(46543).txt,52001-23-31-000-2009-00223-01,46543,2009,,,,28 de agosto de 2013,2 de mayo de 2007,,,,72401
54001-23-31-000-1995-08777-01(16337) (1).txt,54001-23-31-000-1995-08777-01,16337,1995,,,,12 de agosto de 1949,12 de Agosto de 1949,,,,109009
54001-23-31-000-1995-08777-01(16337).txt,54001-23-31-000-1995-08777-01,16337,1995,,,,12 de agosto de 1949,12 de Agosto de 1949,,,,109009
54001-23-31-000-1995-09280-01(30860)_1.txt,54001-23-31-000-1995-09280-01,30860,1995,"ACCION DE REPARACION

DIRECTA",,,21 de noviembre de 1993,30 de noviembre de 2004,,Norte de Santander,,206770
54001-23-31-000-2009-00167-01(53378)_2.txt,54001-23-31-000-2009-00167-01,53378,2009,"ACCIÓN

DE REPARACIÓN DIRECTA",Condena,,17 de marzo de 2004,17 de marzo de 2007,Ábrego,"Norte

de Santander",,208584
54001-23-31-000-2010-00224-01(57519)_1.txt,54001-23-31-000-2010-00224-01,57519,2010,,,Jos Fernando Reyes Cuartas,,,,,,144404
54001-23-31-000-2010-00264-01(57210).txt,54001-23-31-000-2010-00264-01,57210,2010,,,,,,,,,91049
54001-23-31-000-2010-00353-01(40474).txt,54001-23-31-000-2010-00353-01,40474,2010,,Revoca,,01 de junio de 2010,27 de diciembre de 2007,Teorama,VALLE,,11971
54001-23-31-000-2010-00370-01(53704)_3.txt,54001-23-31-000-2010-00370-01,53704,2010,"ACCIÓN
DE REPARACION DIRECTA",Niega,,22 de agosto de 2014,9 de junio de 2017,El,Norte de Santander,de,347882
54001-23-31-000-2010-00370-01(53704)A_1 (1).txt,54001-23-31-000-2010-00370-01,53704,2010,"ACCIÓN DE

REPARACIÓN DIRECTA",Condena,,12 de agosto de 1949,8 de noviembre de 1961,San,Norte de Santander,Contraguerrilla,618665
54001-23-31-000-2010-00370-01(53704)A_1.txt,54001-23-31-000-2010-00370-01,53704,2010,"ACCIÓN DE

REPARACIÓN DIRECTA",Condena,,12 de agosto de 1949,8 de noviembre de 1961,San,Norte de Santander,Contraguerrilla,618665
55000.txt,55000,,,,,,,,,,,0
55500.txt,55500,,,,,,4 de marzo de 2009,3 de agosto de 2005,,Antioquia,,3467
63001-23-31-000-1998-01000-01(18751).txt,63001-23-31-000-1998-01000-01,18751,1998,,Condena,,20 de junio de 1997,19 de junio de 1997,Gnova,,,300586
63001-23-31-000-2008-00097-01(41511) (1).txt,63001-23-31-000-2008-00097-01,41511,2008,,,,31 de marzo de 2009,14 de febrero de 2001,Soacha,,,91017
63001-23-31-000-2008-00097-01(41511) (2).txt,63001-23-31-000-2008-00097-01,41511,2008,,,,31 de marzo de 2009,14 de febrero de 2001,Soacha,,,91017
63001-23-31-000-2008-00097-01(41511).txt,63001-23-31-000-2008-00097-01,41511,2008,,,,31 de marzo de 2009,14 de febrero de 2001,Soacha,,,91017
63001-23-31-000-2008-00097-01(41511)B.txt,63001-23-31-000-2008-00097-01,41511,2008,,condena,,17 de febrero de 2011,22 de junio de 2017,,,,11745
63001-23-31-000-2008-00098-01(44435)_1.txt,63001-23-31-000-2008-00098-01,44435,2008,"ACCIÓN

DE REPARACIÓN DIRECTA",Condena,,1 de octubre de 2007,23 de septiembre de 2009,Calarcá,Quindío,,161758
66001-23-31-000-1996-03549-01(14672) (1).txt,66001-23-31-000-1996-03549-01,14672,1996,,,,12 de diciembre de 1997,30 de enero de 1997,Dosquebradas,Risaralda,,47171
66001-23-31-000-1996-03549-01(14672).txt,66001-23-31-000-1996-03549-01,14672,1996,,,,12 de diciembre de 1997,30 de enero de 1997,Dosquebradas,Risaralda,,47171
66001-23-31-000-2007-00147-01(18170).txt,66001-23-31-000-2007-00147-01,18170,2007,,,,3 de abril de 2003,20 de febrero de 2004,,Risaralda,,69808
66001-23-31-000-2011-00138-01(41706) (1).txt,66001-23-31-000-2011-00138-01,41706,2011,ACCION DE REPARACION DIRECTA,,,10 de diciembre de 2009,9 de julio de 2007,,Risaralda,,83990
66001-23-31-000-2011-00138-01(41706).txt,66001-23-31-000-2011-00138-01,41706,2011,ACCION DE REPARACION DIRECTA,,,10 de diciembre de 2009,9 de julio de 2007,,Risaralda,,83990
68001-23-31-000-2008-00171-01(50622).txt,68001-23-31-000-2008-00171-01,50622,2008,,,,6 de abril de 2018,28 de agosto de 2014,,Santander,,64003
68001-23-31-000-2010-00758-01(53989) (1).txt,68001-23-31-000-2010-00758-01,53989,2010,,,,8 de agosto de 2008,28 de agosto de 2014,Onzaga,Santander,,170796
68001-23-31-000-2010-00758-01(53989).txt,68001-23-31-000-2010-00758-01,53989,2010,,,,8 de agosto de 2008,28 de agosto de 2014,Onzaga,Santander,,170796
73001-23-31-000-2008-00443-01(44030)_1 (1).txt,73001-23-31-000-2008-00443-01,44030,2008,"ACCIÓN

DE
REPARACIÓN DIRECTA",,,31 de marzo de 2009,12 de septiembre de 2005,,,,88268
73001-23-31-000-2008-00443-01(44030)_1.txt,73001-23-31-000-2008-00443-01,44030,2008,"ACCIÓN

DE
REPARACIÓN DIRECTA",,,31 de marzo de 2009,12 de septiembre de 2005,,,,88268
73001-23-31-000-2008-00561-01(38058)_1.txt,73001-23-31-000-2008-00561-01,38058,2008,"ACCIÓN

DE REPARACIÓN DIRECTA",Condena,,28 de febrero de 2008,,Ibagué,Bolívar,de,605020
76001-23-25-000-1996-02231-01(19355).txt,76001-23-25-000-1996-02231-01,19355,1996,,,,5 de junio de 2008,20 de febrero de 1992,,,,169665
76001-23-31-000-2010-01623-01(52983)S.txt,76001-23-31-000-2010-01623-01,52983,2010,,Accede,,22 de abril de 2007,22 de abril de 2007,Roldanillo,Risaralda,,96481
76001-2331-000-2010-00337-01(59269).txt,76001-2331-000-2010-00337-01,59269,2010,,confirma,,14 de septiembre de 2011,6 de abril de 2018,,Cundinamarca,,49268
81001-23-31-000-2010-00049-01(57280).txt,81001-23-31-000-2010-00049-01,57280,2010,,,,3 de febrero de 2010,3 de julio de 2020,,,,45622
85001-23-31-000-2010-00177-02(51127).txt,85001-23-31-000-2010-00177-02,51127,2010,,,,28 de agosto de 2014,19 de febrero de 2007,Villanueva,Casanare,,44649
85001-23-31-000-2010-00178-01(47671).txt,85001-23-31-000-2010-00178-01,47671,2010,,Condena,,,,,Casanare,,463771
85001-23-33-000-2013-00035-01(51388)_2.txt,85001-23-33-000-2013-00035-01,51388,2013,ACCION DE REPARACION DIRECTA,Condena,,28 de marzo de 2007,,,Casanare,,564258
85001-23-33-000-2014-00006-01(58751)A_1.txt,85001-23-33-000-2014-00006-01,58751,2014,,,,15 de diciembre de 2016,9 de febrero de 2012,,Casanare,,111938
AC4689-2017 (2014-00113-01).txt,AC4689-2017,,,,,,18 de febrero de 2000,4 de agosto de 2004,,Magdalena,,26732
AP1007-2017(44180).txt,AP1007-2017,44180,,,,,19 de marzo de 2014,30 de agosto de 2011,Granada,Antioquia,,19042
AP1018-2016(45852).txt,AP1018-2016,45852,,,,,6 de mayo de 2013,9 de noviembre de 2006,Bolvar,Cauca,,35790
AP1028-2017(48489).txt,AP1028-2017,48489,,,confirma,,2 de agosto de 2005,1 de agosto de 2005,La,Antioquia,,40854
AP1043-2018(50597).txt,AP1043-2018,50597,,,,,11 de junio de 2015,21 de octubre de 2003,,,,14311
AP1580-2014(42789).txt,AP1580-2014,42789,,,,,26 de diciembre de 2006,4 de enero de 2007,Paz,Casanare,,25874
AP1594-2014(40210).txt,AP1594-2014,40210,,,,,26 de abril de 2006,30 de septiembre de 2010,Abriaqu,Antioquia,,13065
AP1621-2014(41267).txt,AP1621-2014,41267,,,,,26 de abril de 2006,20 de octubre de 2010,Abriaqu,Antioquia,,11111
AP1677-2016(44670).txt,AP1677-2016,44670,,,,,8 de febrero de 2008,19 de abril de 2012,Pradera,Valle,,25464
AP1702-2016(45831).txt,AP1702-2016,45831,,,,,29 de diciembre de 2004,5 de octubre de 2009,Santa,Cauca,,25727
AP1726-2018(52604).txt,AP1726-2018,52604,,,,,8 de agosto de 2007,8 de agosto de 2007,Paz,Casanare,,13558
AP1754-2016(43050).txt,AP1754-2016,43050,,,,,21 de enero de 2007,23 de abril de 2009,,Norte de Santander,,34501
