audio,bloque_id,chars,subcaso,fecha,tipo,y2_sa,y4_nv,y10_rep,n_sa,n_nv,n_rep
casanare,casanare_c0081,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,1.0,0.0,12.0,2.0,0.0
casanare,casanare_c0082,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,1.0,0.0,23.0,1.0,0.0
casanare,casanare_c0083,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,0.0,0.0,12.0,0.0,0.0
casanare,casanare_c0084,1999.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,1.0,0.0,19.0,1.0,0.0
casanare,casanare_c0085,1998.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,1.0,0.0,10.0,2.0,0.0
casanare,casanare_c0086,1999.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,1.0,0.0,5.0,2.0,0.0
casanare,casanare_c0087,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,0.0,0.0,19.0,0.0,0.0
casanare,casanare_c0088,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,0.0,0.0,19.0,0.0,0.0
casanare,casanare_c0089,1999.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,0.0,1.0,7.0,0.0,1.0
casanare,casanare_c0090,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,0.0,0.0,20.0,0.0,0.0
casanare,casanare_c0091,1999.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,1.0,0.0,13.0,1.0,0.0
casanare,casanare_c0092,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,1.0,0.0,15.0,1.0,0.0
casanare,casanare_c0093,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,1.0,0.0,16.0,2.0,0.0
casanare,casanare_c0094,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,0.0,0.0,10.0,0.0,0.0
casanare,casanare_c0095,1999.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,0.0,0.0,11.0,0.0,0.0
casanare,casanare_c0096,2000.0,Casanare,2020-02-06,audiencia_reconocimiento,1.0,0.0,0.0,16.0,0.0,0.0
