corpus_type,doc_id,bloque_id,chars,y11_quotes,y12_judgment,y13_evidential,y11_n_dq,y12_n_alta,y12_n_baja,y13_n_inst,y13_n_vic,y11_oral_score,y11_n_voz_vic,y11_n_voz_mil,y11_oral_v2,y11_prop_mafapo,y11_n_mafapo,y11_n_militar
A,05d2e3f2271c9000,05d2e3f2271c9000_b016,2000,0.0,0.6667,0.5,0,1,0,0,0,,,,,,,
A,05d2e3f2271c9000,05d2e3f2271c9000_b017,2000,0.0,0.6667,0.0,0,1,0,0,1,,,,,,,
A,05d2e3f2271c9000,05d2e3f2271c9000_b018,2000,1.0,0.0,0.5,1,1,0,0,0,,,,,,,
A,05d2e3f2271c9000,05d2e3f2271c9000_b019,2000,0.0,1.0,0.5,0,0,1,0,0,,,,,,,
A,05fe0c7e89a387dd,05fe0c7e89a387dd_b000,2000,0.0,0.0,0.5,0,0,0,0,0,,,,,,,
A,05fe0c7e89a387dd,05fe0c7e89a387dd_b001,2000,0.0,0.0,0.5,0,1,0,0,0,,,,,,,
A,05fe0c7e89a387dd,05fe0c7e89a387dd_b002,2000,0.0,0.0,0.5,0,1,0,0,0,,,,,,,
A,05fe0c7e89a387dd,05fe0c7e89a387dd_b003,2000,0.0,0.0,0.5,0,0,0,0,0,,,,,,,
A,05fe0c7e89a387dd,05fe0c7e89a387dd_b004,2000,0.0,0.0,0.5,0,2,0,0,0,,,,,,,
A,05fe0c7e89a387dd,05fe0c7e89a387dd_b005,2000,0.0,0.5,0.5,0,1,1,0,0,,,,,,,
A,05fe0c7e89a387dd,05fe0c7e89a387dd_b006,2000,1.0,0.75,0.5,1,1,1,0,0,,,,,,,
A,05fe0c7e89a387dd,05fe0c7e89a387dd_b007,2000,0.0,0.0,0.5,0,2,0,0,0,,,,,,,
A,05fe0c7e89a387dd,05fe0c7e89a387dd_b008,1815,0.0,0.2,0.5,0,4,1,0,0,,,,,,,
A,0835aff2f7b29057,0835aff2f7b29057_b000,2000,0.0,0.5,0.5,0,1,1,0,0,,,,,,,
A,0835aff2f7b29057,0835aff2f7b29057_b001,2000,0.0,0.0,0.5,0,1,0,0,0,,,,,,,
A,0835aff2f7b29057,0835aff2f7b29057_b002,2000,0.0,0.6,0.5,0,2,3,0,0,,,,,,,
A,0835aff2f7b29057,0835aff2f7b29057_b003,2000,0.0,1.0,0.5,0,0,2,0,0,,,,,,,
A,0835aff2f7b29057,0835aff2f7b29057_b004,2000,0.0,1.0,0.5,0,0,2,0,0,,,,,,,
