audio,bloque_id,subcaso,y8_v5,y9_v5
casanare_torres,casanare_torres_b0058,Casanare,0.1610991675720913,0.2637719511985779
casanare_torres,casanare_torres_b0059,Casanare,0.16670067777089415,0.27268874645233154
casanare_torres,casanare_torres_b0060,Casanare,0.12720159372445172,0.2533082962036133
casanare_torres,casanare_torres_b0061,Casanare,0.15490803448199486,0.2652606964111328
casanare_torres,casanare_torres_b0062,Casanare,0.1629155328849441,0.2739127278327942
casanare_torres,casanare_torres_b0063,Casanare,0.14254159263764443,0.2657669186592102
casanare_torres,casanare_torres_b0064,Casanare,0.16685372876741722,0.2619971036911011
casanare_torres,casanare_torres_b0065,Casanare,0.1686331148375334,0.2758396863937378
casanare_torres,casanare_torres_b0066,Casanare,0.17658628402439536,0.2832532525062561
casanare_torres,casanare_torres_b0067,Casanare,0.15130532272523078,0.2547597289085388
casanare_torres,casanare_torres_b0068,Casanare,0.1524775288860689,0.27657055854797363
casanare_torres,casanare_torres_b0069,Casanare,0.15770132147634885,0.26233887672424316
casanare_torres,casanare_torres_b0070,Casanare,0.15396011595373071,0.2531973719596863
casanare_torres,casanare_torres_b0071,Casanare,0.13109932602608743,0.2678128480911255
casanare_torres,casanare_torres_b0072,Casanare,0.22807253960447105,0.327381432056427
casanare_torres,casanare_torres_b0073,Casanare,0.16513074246737358,0.2668224573135376
casanare_torres,casanare_torres_b0074,Casanare,0.18142215956865948,0.27730458974838257
casanare_torres,casanare_torres_b0075,Casanare,0.16304719488403296,0.26679497957229614
casanare_torres,casanare_torres_b0076,Casanare,0.16653123912932033,0.2722289562225342
casanare_torres,casanare_torres_b0077,Casanare,0.19888032912850118,0.28930234909057617
casanare_torres,casanare_torres_b0078,Casanare,0.22573611522502435,0.3261646628379822
casanare_torres,casanare_torres_b0079,Casanare,0.1524433056724107,0.2528747320175171
casanare_torres,casanare_torres_b0080,Casanare,0.13863050607698169,0.2340812087059021
casanare_torres,casanare_torres_b0081,Casanare,0.1708156788539812,0.26577281951904297
casanare_torres,casanare_torres_b0082,Casanare,0.14956323428233298,0.25154149532318115
casanare_torres,casanare_torres_b0083,Casanare,0.19651254324686263,0.3017130494117737
casanare_torres,casanare_torres_b0084,Casanare,0.18339570486265133,0.2789367437362671
casanare_torres,casanare_torres_b0085,Casanare,0.16134780717107888,0.25758326053619385
casanare_torres,casanare_torres_b0086,Casanare,0.14578697470529567,0.24420106410980225
casanare_torres,casanare_torres_b0087,Casanare,0.14564510245165785,0.24723464250564575
casanare_torres,casanare_torres_b0088,Casanare,0.17769921630267838,0.2831348180770874
casanare_torres,casanare_torres_b0089,Casanare,0.16024957926660077,0.26958996057510376
casanare_torres,casanare_torres_b0090,Casanare,0.15295834163890276,0.24876660108566284
casanare_torres,casanare_torres_b0091,Casanare,0.16993471836003837,0.2686905264854431
casanare_torres,casanare_torres_b0092,Casanare,0.14994053557451614,0.26070648431777954
casanare_torres,casanare_torres_b0093,Casanare,0.14390849113336812,0.26213693618774414
casanare_torres,casanare_torres_b0094,Casanare,0.15765925897386568,0.26344364881515503
casanare_torres,casanare_torres_b0095,Casanare,0.1407498498551456,0.26217275857925415
casanare_torres,casanare_torres_b0096,Casanare,0.14774554576019794,0.27199506759643555
casanare_torres,casanare_torres_b0097,Casanare,0.17761902167002608,0.28421109914779663
casanare_torres,casanare_torres_b0098,Casanare,0.18835213316563693,0.26822441816329956
casanare_torres,casanare_torres_b0099,Casanare,0.15221288579687786,0.2666422128677368
casanare_torres,casanare_torres_b0100,Casanare,0.18642668777761384,0.2916260361671448
casanare_torres,casanare_torres_b0101,Casanare,0.14119595511483007,0.26972728967666626
casanare_torres,casanare_torres_b0102,Casanare,0.16914447381920727,0.27826160192489624
casanare_torres,casanare_torres_b0103,Casanare,0.13890401716616152,0.23017358779907227
casanare_torres,casanare_torres_b0104,Casanare,0.1752804590405609,0.25501954555511475
casanare_torres,casanare_torres_b0105,Casanare,0.1899777685559857,0.28887927532196045
casanare_torres,casanare_torres_b0106,Casanare,0.16413372722325137,0.26339906454086304
casanare_torres,casanare_torres_b0107,Casanare,0.15875628941371167,0.2658519744873047
casanare_torres,casanare_torres_b0108,Casanare,0.13473737467125357,0.2386447787284851
casanare_torres,casanare_torres_b0109,Casanare,0.18030239195129694,0.289656400680542
casanare_torres,casanare_torres_b0110,Casanare,0.1598914110627052,0.2742270231246948
casanare_torres,casanare_torres_b0111,Casanare,0.17608432264112617,0.2838793992996216
casanare_torres,casanare_torres_b0112,Casanare,0.1952799270977541,0.28756648302078247
casanare_torres,casanare_torres_b0113,Casanare,0.13282118102471419,0.24156665802001953
casanare_torres,casanare_torres_b0114,Casanare,0.14870548913502724,0.24520444869995117
casanare_torres,casanare_torres_b0115,Casanare,0.18792659794132105,0.2817760705947876
casanare_torres,casanare_torres_b0116,Casanare,0.17094914772010972,0.26133251190185547
casanare_torres,casanare_torres_b0117,Casanare,0.13131757662365795,0.23856514692306519
casanare_torres,casanare_torres_b0118,Casanare,0.20609232616952577,0.28887999057769775
casanare_torres,casanare_torres_b0119,Casanare,0.1279622648494212,0.2526465654373169
casanare_torres,casanare_torres_b0120,Casanare,0.1455572929972424,0.2644304037094116
casanare_torres,casanare_torres_b0121,Casanare,0.10867277320297009,0.1993250846862793
casanare_torres,casanare_torres_b0122,Casanare,0.1339370882144313,0.2635765075683594
casanare_torres,casanare_torres_b0123,Casanare,0.1892909070317884,0.3109439015388489
dabeiba_antioquia,dabeiba_antioquia_b0000,Antioquia,0.13795515983371076,0.27261918783187866
dabeiba_antioquia,dabeiba_antioquia_b0001,Antioquia,0.12885298447472116,0.24988853931427002
dabeiba_antioquia,dabeiba_antioquia_b0002,Antioquia,0.14771874303372456,0.2545534372329712
dabeiba_antioquia,dabeiba_antioquia_b0003,Antioquia,0.14174122183810367,0.2537683844566345
dabeiba_antioquia,dabeiba_antioquia_b0004,Antioquia,0.12270245708811689,0.20403653383255005
dabeiba_antioquia,dabeiba_antioquia_b0005,Antioquia,0.18954223872988663,0.23750662803649902
dabeiba_antioquia,dabeiba_antioquia_b0006,Antioquia,0.19332301910732486,0.2892386317253113
dabeiba_antioquia,dabeiba_antioquia_b0007,Antioquia,0.22810772799729906,0.30106908082962036
dabeiba_antioquia,dabeiba_antioquia_b0008,Antioquia,0.16785631543942947,0.29982149600982666
dabeiba_antioquia,dabeiba_antioquia_b0009,Antioquia,0.17705882482571478,0.3091694116592407
dabeiba_antioquia,dabeiba_antioquia_b0010,Antioquia,0.13030954598700184,0.22978860139846802
dabeiba_antioquia,dabeiba_antioquia_b0011,Antioquia,0.14230193606873653,0.26630979776382446
dabeiba_antioquia,dabeiba_antioquia_b0012,Antioquia,0.17970579065426207,0.2747337222099304
dabeiba_antioquia,dabeiba_antioquia_b0013,Antioquia,0.09928459227663566,0.20606720447540283
dabeiba_antioquia,dabeiba_antioquia_b0014,Antioquia,0.13817207878507232,0.24204933643341064
dabeiba_antioquia,dabeiba_antioquia_b0015,Antioquia,0.18544135521311422,0.27595317363739014
dabeiba_antioquia,dabeiba_antioquia_b0016,Antioquia,0.1533140045458945,0.264559805393219
dabeiba_antioquia,dabeiba_antioquia_b0017,Antioquia,0.13859456665480585,0.23454982042312622
dabeiba_antioquia,dabeiba_antioquia_b0018,Antioquia,0.12019209509402795,0.23339223861694336
dabeiba_antioquia,dabeiba_antioquia_b0019,Antioquia,0.15512029429761764,0.25812995433807373
dabeiba_antioquia,dabeiba_antioquia_b0020,Antioquia,0.17716805383561973,0.2650359869003296
dabeiba_antioquia,dabeiba_antioquia_b0021,Antioquia,0.10779468733975861,0.22804784774780273
dabeiba_antioquia,dabeiba_antioquia_b0022,Antioquia,0.17246063076963225,0.2603563666343689
dabeiba_antioquia,dabeiba_antioquia_b0023,Antioquia,0.16657417485447024,0.27742964029312134
dabeiba_antioquia,dabeiba_antioquia_b0024,Antioquia,0.16355843279084203,0.25645554065704346
dabeiba_antioquia,dabeiba_antioquia_b0025,Antioquia,0.156523357691557,0.2570488452911377
dabeiba_antioquia,dabeiba_antioquia_b0026,Antioquia,0.12006427219282956,0.2543843984603882
dabeiba_antioquia,dabeiba_antioquia_b0027,Antioquia,0.12496963379568782,0.23716169595718384
dabeiba_antioquia,dabeiba_antioquia_b0028,Antioquia,0.1859293203852015,0.3035585880279541
dabeiba_antioquia,dabeiba_antioquia_b0029,Antioquia,0.10343346501609851,0.23694181442260742
dabeiba_antioquia,dabeiba_antioquia_b0030,Antioquia,0.13039751206302952,0.2021898627281189
dabeiba_antioquia,dabeiba_antioquia_b0031,Antioquia,0.177306053863457,0.26919418573379517
dabeiba_antioquia,dabeiba_antioquia_b0032,Antioquia,0.16423928197296644,0.27354514598846436
dabeiba_antioquia,dabeiba_antioquia_b0033,Antioquia,0.16954878533393603,0.2693619132041931
dabeiba_antioquia,dabeiba_antioquia_b0034,Antioquia,0.13440972890739733,0.25387507677078247
dabeiba_antioquia,dabeiba_antioquia_b0035,Antioquia,0.11700315990552701,0.2263360619544983
dabeiba_antioquia,dabeiba_antioquia_b0036,Antioquia,0.15074997921637967,0.26177144050598145
dabeiba_antioquia,dabeiba_antioquia_b0037,Antioquia,0.13358263238584556,0.26514190435409546
dabeiba_antioquia,dabeiba_antioquia_b0038,Antioquia,0.16589207761552416,0.2598288059234619
dabeiba_antioquia,dabeiba_antioquia_b0039,Antioquia,0.16163928021055307,0.2639145255088806
dabeiba_antioquia,dabeiba_antioquia_b0040,Antioquia,0.16897408720088158,0.2640213966369629
dabeiba_antioquia,dabeiba_antioquia_b0041,Antioquia,0.16119866645445668,0.2744947671890259
dabeiba_antioquia,dabeiba_antioquia_b0042,Antioquia,0.16252925993067202,0.2647671103477478
dabeiba_antioquia,dabeiba_antioquia_b0043,Antioquia,0.1547564607013946,0.26531505584716797
dabeiba_antioquia,dabeiba_antioquia_b0044,Antioquia,0.16004657305821635,0.2555720806121826
dabeiba_antioquia,dabeiba_antioquia_b0045,Antioquia,0.16410200876612802,0.23672491312026978
dabeiba_antioquia,dabeiba_antioquia_b0046,Antioquia,0.15734695867723203,0.2547833323478699
dabeiba_antioquia,dabeiba_antioquia_b0047,Antioquia,0.12461566633450427,0.25430768728256226
dabeiba_antioquia,dabeiba_antioquia_b0048,Antioquia,0.2099280432378321,0.32610535621643066
dabeiba_antioquia,dabeiba_antioquia_b0049,Antioquia,0.15363416428846544,0.23024427890777588
dabeiba_antioquia,dabeiba_antioquia_b0050,Antioquia,0.1997757225260709,0.28261494636535645
dabeiba_antioquia,dabeiba_antioquia_b0051,Antioquia,0.1336027414659564,0.1868559718132019
dabeiba_antioquia,dabeiba_antioquia_b0052,Antioquia,0.21402480692530057,0.31423419713974
dabeiba_antioquia,dabeiba_antioquia_b0053,Antioquia,0.18172581342806837,0.2788236737251282
dabeiba_antioquia,dabeiba_antioquia_b0054,Antioquia,0.11489522883863834,0.2090686559677124
dabeiba_antioquia,dabeiba_antioquia_b0055,Antioquia,0.13607157815783932,0.23596519231796265
dabeiba_antioquia,dabeiba_antioquia_b0056,Antioquia,0.1634125591129617,0.26677167415618896
dabeiba_antioquia,dabeiba_antioquia_b0057,Antioquia,0.1287787395632467,0.22888320684432983
dabeiba_antioquia,dabeiba_antioquia_b0058,Antioquia,0.16390531250146478,0.2600688338279724
dabeiba_antioquia,dabeiba_antioquia_b0059,Antioquia,0.163719190465496,0.2776171565055847
dabeiba_antioquia,dabeiba_antioquia_b0060,Antioquia,0.1499980738770571,0.2796373963356018
dabeiba_antioquia,dabeiba_antioquia_b0061,Antioquia,0.16841267005659533,0.28040915727615356
dabeiba_antioquia,dabeiba_antioquia_b0062,Antioquia,0.11373026327444846,0.20781445503234863
dabeiba_antioquia,dabeiba_antioquia_b0063,Antioquia,0.13285341434779963,0.23125052452087402
dabeiba_antioquia,dabeiba_antioquia_b0064,Antioquia,0.19137251043687165,0.30732619762420654
dabeiba_antioquia,dabeiba_antioquia_b0065,Antioquia,0.15205272619050814,0.2556699514389038
dabeiba_antioquia,dabeiba_antioquia_b0066,Antioquia,0.2163461545640566,0.2862586975097656
dabeiba_antioquia,dabeiba_antioquia_b0067,Antioquia,0.1845276089660265,0.2856849431991577
dabeiba_antioquia,dabeiba_antioquia_b0068,Antioquia,0.155619865265043,0.25468432903289795
dabeiba_antioquia,dabeiba_antioquia_b0069,Antioquia,0.17078931541472797,0.2524707317352295
dabeiba_antioquia,dabeiba_antioquia_b0070,Antioquia,0.1250615242857973,0.23338258266448975
dabeiba_antioquia,dabeiba_antioquia_b0071,Antioquia,0.11365164340832612,0.204096257686615
dabeiba_antioquia,dabeiba_antioquia_b0072,Antioquia,0.12998642053798648,0.2534729242324829
dabeiba_antioquia,dabeiba_antioquia_b0073,Antioquia,0.17657991667116224,0.25638294219970703
dabeiba_antioquia,dabeiba_antioquia_b0074,Antioquia,0.164754130071328,0.2641342878341675
dabeiba_antioquia,dabeiba_antioquia_b0075,Antioquia,0.14788687632454778,0.27852171659469604
dabeiba_antioquia,dabeiba_antioquia_b0076,Antioquia,0.14782584288681666,0.24407958984375
dabeiba_antioquia,dabeiba_antioquia_b0077,Antioquia,0.1688102340877624,0.25439906120300293
dabeiba_antioquia,dabeiba_antioquia_b0078,Antioquia,0.2036111710934445,0.3100726008415222
dabeiba_antioquia,dabeiba_antioquia_b0079,Antioquia,0.1787914809268738,0.2957228422164917
dabeiba_antioquia,dabeiba_antioquia_b0080,Antioquia,0.18537670866298372,0.29353153705596924
dabeiba_antioquia,dabeiba_antioquia_b0081,Antioquia,0.179461677080195,0.26519811153411865
dabeiba_antioquia,dabeiba_antioquia_b0082,Antioquia,0.12937669199858037,0.25034624338150024
dabeiba_antioquia,dabeiba_antioquia_b0083,Antioquia,0.10985046192170755,0.23941034078598022
dabeiba_antioquia,dabeiba_antioquia_b0084,Antioquia,0.14803498943176696,0.23886066675186157
dabeiba_antioquia,dabeiba_antioquia_b0085,Antioquia,0.1298256318187747,0.23118120431900024
